traits	regions
3_2416_2002.115068	Region4
2_15479_2008.579235	Region3
2_11340_2007.30137	Region3
2_2919_2000.871585	Region3
2_1672_1999.049315	Region3
2_5344_2004.13388	Region3
2_12031_2007.512329	Region3
2_705_1995.728767	Region3
2_2080_1999.671233	Region3
0_5628_1999.528767	Region1
2_12155_2007.621918	Region3
2_13787_2008.087432	Region3
2_8201_2006.252055	Region3
2_15947_2008.685792	Region3
0_12689_2005.613699	Region1
2_538_1995.041096	Region3
2_8792_2006.457534	Region3
2_2402_2000.314208	Region3
3_6072_2008.144809	Region4
2_3805_2001.794521	Region3
3_2747_2002.350685	Region4
3_4092_2004.543716	Region4
2_15752_2008.620219	Region3
2_6820_2005.687671	Region3
2_14441_2008.289617	Region3
2_3496_2001.386301	Region3
2_9472_2006.684932	Region3
2_239_1994.150685	Region3
2_12413_2007.610959	Region3
2_5627_2004.480874	Region3
2_3926_2002.030137	Region3
2_2035_1999.49589	Region3
2_2794_2000.784153	Region3
2_4989_2003.394521	Region3
2_21676_2011.731507	Region3
2_3184_2001.079452	Region3
2_572_1995.158904	Region3
2_2686_2000.833333	Region3
2_781_1995.863014	Region3
2_8390_2006.394521	Region3
2_1223_1997.117808	Region3
2_2376_2000.404372	Region3
2_19870_2010.038356	Region3
3_6052_2008.122951	Region4
2_3404_2001.30411	Region3
2_899_1996.051913	Region3
2_3486_2001.405479	Region3
2_6231_2005.273973	Region3
2_5177_2003.69589	Region3
2_1009_1996.314208	Region3
3_150_1995.690411	Region4
2_8652_2006.410959	Region3
2_4878_2003.284932	Region3
2_12711_2007.745205	Region3
2_7661_2006.079452	Region3
2_2046_1999.536986	Region3
2_5984_2004.912568	Region3
2_3743_2001.715068	Region3
3_4159_2004.784153	Region4
2_17069_2009.065753	Region3
3_5944_2008.010929	Region4
2_1452_1998.320548	Region3
2_1245_1997.158904	Region3
3_5200_2006.843836	Region4
2_6297_2005.282192	Region3
3_6644_2008.915301	Region4
1_4268_2000.699454	Region2
2_4378_2002.857534	Region3
3_3821_2003.928767	Region4
2_18367_2009.421918	Region3
2_1230_1997.038356	Region3
2_13238_2007.860274	Region3
2_2018_1999.463014	Region3
2_21790_2011.917808	Region3
2_17046_2009.021918	Region3
2_21331_2011.057534	Region3
2_1487_1998.528767	Region3
2_17535_2009.364384	Region3
2_13976_2008.163934	Region3
2_3641_2001.589041	Region3
3_4893_2006.531507	Region4
2_19220_2009.758904	Region3
3_2223_2001.969863	Region4
2_18479_2009.460274	Region3
3_2245_2002.065753	Region4
3_6519_2008.642077	Region4
2_3886_2002.071233	Region3
3_1029_2000.489071	Region4
3_2354_2002.063014	Region4
3_2492_2002.134247	Region4
3_4476_2005.849315	Region4
3_2522_2002.183562	Region4
2_16896_2009.008219	Region3
2_17238_2009.065753	Region3
2_4019_2002.238356	Region3
3_3207_2002.772603	Region4
3_2726_2002.380822	Region4
2_15777_2008.704918	Region3
3_2751_2002.416438	Region4
2_4094_2002.309589	Region3
3_3147_2002.646575	Region4
2_12144_2007.578082	Region3
3_2991_2002.493151	Region4
3_2998_2002.583562	Region4
3_4551_2006.00274	Region4
3_5789_2007.767123	Region4
2_5644_2004.551913	Region3
2_11429_2007.326027	Region3
2_4306_2002.717808	Region3
3_3133_2002.805479	Region4
2_11539_2007.460274	Region3
3_3161_2002.665753	Region4
2_6558_2005.463014	Region3
3_3241_2002.794521	Region4
2_21933_2012.385246	Region3
3_3266_2002.783562	Region4
3_5359_2007.038356	Region4
2_5056_2003.460274	Region3
2_4434_2002.989041	Region3
2_4440_2002.873973	Region3
2_4471_2002.917808	Region3
3_3380_2002.947945	Region4
2_4581_2003.008219	Region3
3_2697_2002.263014	Region4
2_17454_2009.167123	Region3
2_12632_2007.808219	Region3
3_3450_2003.068493	Region4
2_4715_2003.158904	Region3
2_4721_2003.315068	Region3
2_12892_2007.79726	Region3
2_4759_2003.131507	Region3
2_4816_2003.191781	Region3
2_4894_2003.235616	Region3
3_781_1999.613699	Region4
3_3597_2003.468493	Region4
3_3607_2003.40274	Region4
