traits	regions
2_20118_2010.339726	Region3
0_3065_1994.539726	Region1
3_349_1997.208219	Region4
4_849_1997.021918	Region5
2_7221_2005.887671	Region3
3_1935_2001.767123	Region4
3_71_1995.312329	Region4
4_7682_2005.019178	Region5
2_11183_2007.282192	Region3
2_141_1993.876712	Region3
3_191_1995.920548	Region4
0_2048_1993.449315	Region1
2_6596_2005.553425	Region3
4_1547_1997.512329	Region5
1_1786_1997.128767	Region2
3_1010_2000.472678	Region4
2_2529_2000.606557	Region3
2_4467_2002.882192	Region3
3_2375_2002.123288	Region4
3_6476_2008.52459	Region4
0_105_1990.065753	Region1
1_2270_1998.419178	Region2
4_7800_2005.290411	Region5
2_14210_2008.188525	Region3
0_12826_2005.70137	Region1
4_1990_1997.753425	Region5
2_1713_1999.112329	Region3
1_3923_2000.464481	Region2
2_1428_1998.19726	Region3
4_5673_2000.314208	Region5
0_8700_2002.342466	Region1
3_8_1993.389041	Region4
1_6926_2008.961749	Region2
2_3930_2002.191781	Region3
4_3995_1999.175342	Region5
2_3340_2001.19726	Region3
2_9460_2006.641096	Region3
0_4081_1995.29863	Region1
0_11308_2004.508197	Region1
3_514_1998.747945	Region4
2_13006_2007.950685	Region3
2_2023_1999.479452	Region3
2_225_1994.139726	Region3
4_1006_1997.156164	Region5
2_13045_2007.917808	Region3
3_6052_2008.122951	Region4
2_6424_2005.39726	Region3
2_16212_2008.76776	Region3
3_5394_2007.115068	Region4
3_6760_2011.742466	Region4
2_12998_2007.852055	Region3
2_14032_2008.185792	Region3
2_20943_2010.753425	Region3
3_299_1996.86612	Region4
1_1284_1996.218579	Region2
2_15094_2008.461749	Region3
2_13156_2007.854795	Region3
2_22680_2015.353425	Region3
5_4748_2011.569863	Region6
2_1153_1996.740437	Region3
2_14414_2008.256831	Region3
2_4169_2002.578082	Region3
2_261_1994.189041	Region3
0_2138_1993.512329	Region1
4_737_1996.857923	Region5
2_16258_2008.797814	Region3
2_2283_2000.142077	Region3
4_781_1996.956284	Region5
0_6182_2000.743169	Region1
2_433_1994.690411	Region3
0_7441_2001.69863	Region1
2_9270_2006.739726	Region3
2_943_1996.122951	Region3
0_89_1990.052055	Region1
2_5614_2004.464481	Region3
2_1419_1998.293151	Region3
4_8083_2005.720548	Region5
4_8075_2005.69589	Region5
0_13612_2006.2	Region1
2_2016_1999.443836	Region3
2_9230_2006.624658	Region3
3_387_1997.70411	Region4
2_3892_2001.994521	Region3
4_2464_1998.10411	Region5
2_14161_2008.215847	Region3
2_6765_2005.632877	Region3
3_5389_2007.112329	Region4
0_7594_2001.778082	Region1
2_7905_2006.2	Region3
2_17654_2009.216438	Region3
4_7145_2002.868493	Region5
2_5967_2004.978142	Region3
0_2000_1993.364384	Region1
0_4458_1995.712329	Region1
4_7408_2004.213115	Region5
4_474_1996.655738	Region5
3_4893_2006.531507	Region4
2_4638_2003.079452	Region3
2_9158_2006.553425	Region3
5_288_2006.59726	Region6
0_8603_2002.268493	Region1
3_2200_2002.00274	Region4
2_22629_2015.082192	Region3
3_2320_2002.027397	Region4
3_5980_2007.983562	Region4
1_3714_2000.122951	Region2
3_2378_2002.082192	Region4
2_11324_2007.326027	Region3
1_5443_2002.180822	Region2
3_6235_2008.210383	Region4
3_2589_2002.186301	Region4
3_2598_2002.238356	Region4
3_2627_2002.235616	Region4
0_1704_1993.068493	Region1
5_4544_2011.369863	Region6
3_2674_2002.265753	Region4
3_2690_2002.328767	Region4
3_3679_2003.60274	Region4
3_2769_2002.394521	Region4
2_4120_2002.493151	Region3
2_7626_2006.054795	Region3
2_7994_2006.257534	Region3
2_16837_2008.959016	Region3
4_6843_2001.863014	Region5
2_10096_2006.873973	Region3
3_3002_2002.493151	Region4
0_9009_2002.550685	Region1
0_9038_2002.654795	Region1
2_11859_2007.463014	Region3
2_2489_2000.519126	Region3
1_6812_2007.282192	Region2
0_9668_2003.254795	Region1
2_5805_2004.688525	Region3
2_4486_2002.89589	Region3
2_4618_2003	Region3
2_6968_2005.753425	Region3
2_4659_2003.068493	Region3
0_9505_2003.115068	Region1
4_9104_2008.215847	Region5
0_9566_2003.147945	Region1
0_9586_2003.183562	Region1
0_9594_2003.194521	Region1
0_9603_2003.194521	Region1
0_15290_2007.978082	Region1
3_3540_2003.241096	Region4
2_4897_2003.265753	Region3
3_3566_2003.427397	Region4
0_9709_2003.405479	Region1
3_3638_2003.463014	Region4
3_3615_2003.446575	Region4
3_3660_2003.531507	Region4
0_8418_2002.210959	Region1
3_4157_2004.734973	Region4
0_1437_1992.86612	Region1
2_5219_2003.780822	Region3
0_10266_2003.849315	Region1
0_11972_2005.142466	Region1
3_4024_2004.472678	Region4
3_3839_2003.986301	Region4
1_7063_2009.660274	Region2
2_9786_2006.753425	Region3
3_4020_2004.379781	Region4
0_11090_2004.431694	Region1
0_11101_2004.396175	Region1
2_20144_2010.235616	Region3
3_4059_2004.653005	Region4
0_11266_2004.808743	Region1
2_997_1996.213115	Region3
3_4129_2004.601093	Region4
2_5721_2004.622951	Region3
