traits	patch	samp.dates	short.names
5_2106_2009.128767	6	2009.128767	5_2106
5_2104_2009.20274	6	2009.20274	5_2104
5_2102_2009.241096	6	2009.241096	5_2102
2_17472_2009.139726	3	2009.139726	2_17472
2_17471_2009.2	3	2009.2	2_17471
5_3787_2010.526027	6	2010.526027	5_3787
2_17469_2009.145205	3	2009.145205	2_17469
2_17468_2009.158904	3	2009.158904	2_17468
2_17467_2009.175342	3	2009.175342	2_17467
2_17466_2009.216438	3	2009.216438	2_17466
5_2485_2009.454795	6	2009.454795	5_2485
1_6970_2009.19726	2	2009.19726	1_6970
5_2101_2009.128767	6	2009.128767	5_2101
0_15491_2010.216438	1	2010.216438	0_15491
5_2100_2009.147945	6	2009.147945	5_2100
2_17464_2009.241096	3	2009.241096	2_17464
2_17463_2009.19726	3	2009.19726	2_17463
2_17461_2009.167123	3	2009.167123	2_17461
2_17458_2009.131507	3	2009.131507	2_17458
2_17457_2009.191781	3	2009.191781	2_17457
2_17455_2009.169863	3	2009.169863	2_17455
1_6969_2009.164384	2	2009.164384	1_6969
5_5553_2012.387978	6	2012.387978	5_5553
2_17451_2009.153425	3	2009.153425	2_17451
2_17450_2009.142466	3	2009.142466	2_17450
2_17449_2009.167123	3	2009.167123	2_17449
2_17448_2009.136986	3	2009.136986	2_17448
2_17447_2009.175342	3	2009.175342	2_17447
5_2097_2009.164384	6	2009.164384	5_2097
5_2096_2009.156164	6	2009.156164	5_2096
3_6678_2009.145205	4	2009.145205	3_6678
2_17445_2009.241096	3	2009.241096	2_17445
2_17441_2009.194521	3	2009.194521	2_17441
2_17440_2009.183562	3	2009.183562	2_17440
2_17439_2009.19726	3	2009.19726	2_17439
5_2095_2009.183562	6	2009.183562	5_2095
5_2094_2009.153425	6	2009.153425	5_2094
2_17438_2009.216438	3	2009.216438	2_17438
2_17434_2009.139726	3	2009.139726	2_17434
2_21834_2012.040984	3	2012.040984	2_21834
2_17432_2009.29863	3	2009.29863	2_17432
2_17431_2009.139726	3	2009.139726	2_17431
2_17430_2009.136986	3	2009.136986	2_17430
2_20747_2010.654795	3	2010.654795	2_20747
5_2091_2009.123288	6	2009.123288	5_2091
5_2090_2009.126027	6	2009.126027	5_2090
2_17429_2009.2	3	2009.2	2_17429
2_17428_2009.172603	3	2009.172603	2_17428
2_17427_2009.158904	3	2009.158904	2_17427
2_17426_2009.150685	3	2009.150685	2_17426
2_17425_2009.147945	3	2009.147945	2_17425
1_7160_2010.079452	2	2010.079452	1_7160
5_2087_2009.150685	6	2009.150685	5_2087
5_2086_2009.142466	6	2009.142466	5_2086
2_17424_2009.441096	3	2009.441096	2_17424
2_17423_2009.208219	3	2009.208219	2_17423
2_17422_2009.142466	3	2009.142466	2_17422
2_17419_2009.115068	3	2009.115068	2_17419
2_17418_2009.136986	3	2009.136986	2_17418
5_2083_2009.178082	6	2009.178082	5_2083
2_17416_2009.126027	3	2009.126027	2_17416
2_17415_2009.156164	3	2009.156164	2_17415
2_22417_2014.183562	3	2014.183562	2_22417
2_17414_2009.189041	3	2009.189041	2_17414
1_6967_2009.106849	2	2009.106849	1_6967
5_3600_2010.361644	6	2010.361644	5_3600
5_2081_2009.175342	6	2009.175342	5_2081
5_2078_2009.180822	6	2009.180822	5_2078
4_9280_2009.156164	5	2009.156164	4_9280
3_6676_2009.194521	4	2009.194521	3_6676
2_17408_2009.189041	3	2009.189041	2_17408
2_17405_2009.117808	3	2009.117808	2_17405
5_2073_2009.115068	6	2009.115068	5_2073
3_6674_2009.136986	4	2009.136986	3_6674
2_17403_2009.126027	3	2009.126027	2_17403
2_17400_2009.109589	3	2009.109589	2_17400
2_17397_2009.172603	3	2009.172603	2_17397
2_17395_2009.150685	3	2009.150685	2_17395
4_9279_2009.128767	5	2009.128767	4_9279
5_3761_2010.531507	6	2010.531507	5_3761
2_17393_2009.120548	3	2009.120548	2_17393
2_17392_2009.186301	3	2009.186301	2_17392
5_2328_2009.427397	6	2009.427397	5_2328
2_17390_2009.136986	3	2009.136986	2_17390
2_17388_2009.194521	3	2009.194521	2_17388
2_17387_2009.112329	3	2009.112329	2_17387
2_17386_2009.134247	3	2009.134247	2_17386
2_17384_2009.213699	3	2009.213699	2_17384
2_22462_2014.241096	3	2014.241096	2_22462
2_17380_2009.131507	3	2009.131507	2_17380
5_2067_2009.117808	6	2009.117808	5_2067
4_9278_2009.10411	5	2009.10411	4_9278
2_17377_2009.136986	3	2009.136986	2_17377
2_17374_2009.131507	3	2009.131507	2_17374
2_17372_2009.183562	3	2009.183562	2_17372
5_2400_2009.534247	6	2009.534247	5_2400
2_17368_2009.126027	3	2009.126027	2_17368
2_17367_2009.145205	3	2009.145205	2_17367
5_2064_2009.356164	6	2009.356164	5_2064
5_2063_2009.169863	6	2009.169863	5_2063
5_2062_2009.161644	6	2009.161644	5_2062
2_17364_2009.087671	3	2009.087671	2_17364
2_17361_2009.153425	3	2009.153425	2_17361
2_20873_2010.79726	3	2010.79726	2_20873
2_17359_2009.106849	3	2009.106849	2_17359
2_17358_2009.087671	3	2009.087671	2_17358
5_2060_2009.161644	6	2009.161644	5_2060
5_2059_2009.123288	6	2009.123288	5_2059
5_2058_2009.109589	6	2009.109589	5_2058
5_2055_2009.126027	6	2009.126027	5_2055
5_3448_2010.282192	6	2010.282192	5_3448
5_2054_2009.117808	6	2009.117808	5_2054
2_17356_2009.120548	3	2009.120548	2_17356
2_17355_2009.134247	3	2009.134247	2_17355
2_17354_2009.153425	3	2009.153425	2_17354
2_17353_2009.09863	3	2009.09863	2_17353
2_17352_2009.183562	3	2009.183562	2_17352
2_17349_2009.194521	3	2009.194521	2_17349
2_17347_2009.158904	3	2009.158904	2_17347
2_17346_2009.134247	3	2009.134247	2_17346
2_17345_2009.09589	3	2009.09589	2_17345
2_17344_2009.090411	3	2009.090411	2_17344
2_17343_2009.145205	3	2009.145205	2_17343
2_21815_2012.038251	3	2012.038251	2_21815
2_17340_2009.139726	3	2009.139726	2_17340
2_17339_2009.180822	3	2009.180822	2_17339
2_17338_2009.219178	3	2009.219178	2_17338
2_17337_2009.109589	3	2009.109589	2_17337
2_17334_2009.167123	3	2009.167123	2_17334
2_17333_2009.120548	3	2009.120548	2_17333
5_2051_2009.156164	6	2009.156164	5_2051
5_2050_2009.079452	6	2009.079452	5_2050
5_2048_2009.131507	6	2009.131507	5_2048
2_17332_2009.128767	3	2009.128767	2_17332
2_17331_2009.10411	3	2009.10411	2_17331
2_17328_2009.156164	3	2009.156164	2_17328
2_17326_2009.093151	3	2009.093151	2_17326
2_17325_2009.180822	3	2009.180822	2_17325
2_20797_2010.690411	3	2010.690411	2_20797
2_17323_2009.139726	3	2009.139726	2_17323
2_18522_2009.591781	3	2009.591781	2_18522
1_6966_2009.09589	2	2009.09589	1_6966
5_2046_2009.175342	6	2009.175342	5_2046
5_2045_2009.178082	6	2009.178082	5_2045
2_17322_2009.183562	3	2009.183562	2_17322
2_17321_2009.10137	3	2009.10137	2_17321
2_17318_2009.147945	3	2009.147945	2_17318
2_22395_2013.964384	3	2013.964384	2_22395
5_2043_2009.087671	6	2009.087671	5_2043
3_6670_2009.273973	4	2009.273973	3_6670
2_17313_2009.128767	3	2009.128767	2_17313
2_17312_2009.09863	3	2009.09863	2_17312
2_17310_2009.112329	3	2009.112329	2_17310
2_17309_2009.164384	3	2009.164384	2_17309
2_17308_2009.142466	3	2009.142466	2_17308
2_17307_2009.134247	3	2009.134247	2_17307
5_6168_2013.638356	6	2013.638356	5_6168
2_17305_2009.131507	3	2009.131507	2_17305
2_17304_2009.090411	3	2009.090411	2_17304
2_17303_2009.189041	3	2009.189041	2_17303
2_17302_2009.09863	3	2009.09863	2_17302
2_17301_2009.082192	3	2009.082192	2_17301
2_17300_2009.186301	3	2009.186301	2_17300
2_17297_2009.079452	3	2009.079452	2_17297
2_17296_2009.139726	3	2009.139726	2_17296
5_2042_2009.158904	6	2009.158904	5_2042
4_9275_2009.079452	5	2009.079452	4_9275
4_9274_2009.158904	5	2009.158904	4_9274
2_17294_2009.076712	3	2009.076712	2_17294
2_17293_2009.117808	3	2009.117808	2_17293
2_17291_2009.161644	3	2009.161644	2_17291
2_17290_2009.082192	3	2009.082192	2_17290
2_17288_2009.172603	3	2009.172603	2_17288
2_17287_2009.158904	3	2009.158904	2_17287
2_17286_2009.189041	3	2009.189041	2_17286
2_17282_2009.128767	3	2009.128767	2_17282
2_17281_2009.117808	3	2009.117808	2_17281
2_17279_2009.252055	3	2009.252055	2_17279
2_17278_2009.084932	3	2009.084932	2_17278
2_17277_2009.29589	3	2009.29589	2_17277
2_17275_2009.136986	3	2009.136986	2_17275
2_17273_2009.115068	3	2009.115068	2_17273
2_17272_2009.172603	3	2009.172603	2_17272
2_17271_2009.142466	3	2009.142466	2_17271
5_2040_2009.282192	6	2009.282192	5_2040
2_17269_2009.117808	3	2009.117808	2_17269
2_17267_2009.106849	3	2009.106849	2_17267
2_17266_2009.169863	3	2009.169863	2_17266
5_2038_2009.145205	6	2009.145205	5_2038
5_2036_2009.090411	6	2009.090411	5_2036
2_17263_2009.093151	3	2009.093151	2_17263
2_17261_2009.106849	3	2009.106849	2_17261
2_17260_2009.112329	3	2009.112329	2_17260
2_17259_2009.142466	3	2009.142466	2_17259
2_17258_2009.10411	3	2009.10411	2_17258
2_17257_2009.082192	3	2009.082192	2_17257
4_9467_2012.428962	5	2012.428962	4_9467
2_17256_2009.084932	3	2009.084932	2_17256
2_17255_2009.071233	3	2009.071233	2_17255
2_21551_2011.479452	3	2011.479452	2_21551
1_6963_2009.10411	2	2009.10411	1_6963
1_6962_2009.115068	2	2009.115068	1_6962
2_17251_2009.065753	3	2009.065753	2_17251
2_17250_2009.10411	3	2009.10411	2_17250
1_6959_2009.10137	2	2009.10137	1_6959
5_2033_2009.063014	6	2009.063014	5_2033
2_17247_2009.115068	3	2009.115068	2_17247
2_20442_2010.454795	3	2010.454795	2_20442
2_17244_2009.057534	3	2009.057534	2_17244
2_17243_2009.117808	3	2009.117808	2_17243
2_17242_2009.131507	3	2009.131507	2_17242
5_2027_2009.090411	6	2009.090411	5_2027
4_9272_2009.235616	5	2009.235616	4_9272
4_9271_2009.082192	5	2009.082192	4_9271
2_17239_2009.136986	3	2009.136986	2_17239
1_6957_2009.106849	2	2009.106849	1_6957
2_17235_2009.09589	3	2009.09589	2_17235
2_17234_2009.128767	3	2009.128767	2_17234
5_2022_2009.109589	6	2009.109589	5_2022
2_19344_2009.810959	3	2009.810959	2_19344
5_2021_2009.082192	6	2009.082192	5_2021
5_2020_2009.180822	6	2009.180822	5_2020
4_9270_2009.117808	5	2009.117808	4_9270
3_6669_2009.087671	4	2009.087671	3_6669
2_17229_2009.084932	3	2009.084932	2_17229
2_17228_2009.084932	3	2009.084932	2_17228
2_20435_2010.413699	3	2010.413699	2_20435
2_17227_2009.073973	3	2009.073973	2_17227
2_17226_2009.052055	3	2009.052055	2_17226
2_17224_2009.084932	3	2009.084932	2_17224
2_17223_2009.112329	3	2009.112329	2_17223
1_6956_2009.175342	2	2009.175342	1_6956
1_6955_2009.054795	2	2009.054795	1_6955
5_2017_2009.106849	6	2009.106849	5_2017
5_2016_2009.082192	6	2009.082192	5_2016
2_17220_2009.106849	3	2009.106849	2_17220
5_2015_2009.126027	6	2009.126027	5_2015
5_2013_2009.249315	6	2009.249315	5_2013
5_2011_2009.139726	6	2009.139726	5_2011
2_19476_2009.79726	3	2009.79726	2_19476
4_9268_2009.117808	5	2009.117808	4_9268
4_9267_2009.043836	5	2009.043836	4_9267
2_17219_2009.09589	3	2009.09589	2_17219
2_17218_2009.057534	3	2009.057534	2_17218
2_17217_2009.115068	3	2009.115068	2_17217
2_17215_2009.109589	3	2009.109589	2_17215
2_17212_2009.073973	3	2009.073973	2_17212
2_17210_2009.071233	3	2009.071233	2_17210
2_18690_2009.723288	3	2009.723288	2_18690
5_2009_2009.117808	6	2009.117808	5_2009
5_2008_2009.084932	6	2009.084932	5_2008
2_17207_2009.153425	3	2009.153425	2_17207
2_17206_2009.10137	3	2009.10137	2_17206
2_17205_2009.126027	3	2009.126027	2_17205
2_17204_2009.189041	3	2009.189041	2_17204
2_17200_2009.082192	3	2009.082192	2_17200
5_2004_2009.076712	6	2009.076712	5_2004
4_9266_2009.043836	5	2009.043836	4_9266
2_17198_2009.035616	3	2009.035616	2_17198
2_17196_2009.093151	3	2009.093151	2_17196
2_17195_2009.123288	3	2009.123288	2_17195
5_4428_2011.210959	6	2011.210959	5_4428
2_17193_2009.057534	3	2009.057534	2_17193
5_2003_2009.090411	6	2009.090411	5_2003
2_17192_2009.043836	3	2009.043836	2_17192
2_17191_2009.079452	3	2009.079452	2_17191
2_17190_2009.087671	3	2009.087671	2_17190
2_17187_2009.128767	3	2009.128767	2_17187
2_17186_2009.109589	3	2009.109589	2_17186
2_17185_2009.093151	3	2009.093151	2_17185
2_17184_2009.084932	3	2009.084932	2_17184
2_17183_2009.049315	3	2009.049315	2_17183
2_17182_2009.079452	3	2009.079452	2_17182
1_6950_2009.057534	2	2009.057534	1_6950
1_6949_2009.052055	2	2009.052055	1_6949
5_1998_2009.134247	6	2009.134247	5_1998
5_1997_2009.043836	6	2009.043836	5_1997
2_17181_2009.032877	3	2009.032877	2_17181
2_17180_2009.030137	3	2009.030137	2_17180
2_17179_2009.10137	3	2009.10137	2_17179
2_17176_2009.076712	3	2009.076712	2_17176
2_17175_2009.063014	3	2009.063014	2_17175
1_6946_2009.046575	2	2009.046575	1_6946
2_22303_2013.265753	3	2013.265753	2_22303
1_6943_2009.068493	2	2009.068493	1_6943
5_1996_2009.093151	6	2009.093151	5_1996
2_17172_2009.065753	3	2009.065753	2_17172
2_17171_2009.084932	3	2009.084932	2_17171
2_17169_2009.043836	3	2009.043836	2_17169
4_9265_2009.093151	5	2009.093151	4_9265
4_9264_2009.038356	5	2009.038356	4_9264
4_9263_2009.057534	5	2009.057534	4_9263
2_17167_2009.131507	3	2009.131507	2_17167
2_17166_2009.060274	3	2009.060274	2_17166
2_17165_2009.172603	3	2009.172603	2_17165
2_17164_2009.063014	3	2009.063014	2_17164
2_17163_2009.038356	3	2009.038356	2_17163
2_19475_2009.813699	3	2009.813699	2_19475
2_17161_2009.112329	3	2009.112329	2_17161
2_17159_2009.079452	3	2009.079452	2_17159
2_17158_2009.076712	3	2009.076712	2_17158
5_1993_2009.060274	6	2009.060274	5_1993
5_1992_2009.126027	6	2009.126027	5_1992
5_1991_2009.030137	6	2009.030137	5_1991
5_1989_2009.109589	6	2009.109589	5_1989
2_17157_2009.054795	3	2009.054795	2_17157
2_17156_2009.090411	3	2009.090411	2_17156
2_17152_2009.060274	3	2009.060274	2_17152
2_17149_2009.076712	3	2009.076712	2_17149
2_17148_2009.038356	3	2009.038356	2_17148
5_1985_2009.073973	6	2009.073973	5_1985
5_1984_2009.068493	6	2009.068493	5_1984
4_9258_2009.128767	5	2009.128767	4_9258
3_6666_2009.09589	4	2009.09589	3_6666
3_6665_2009.068493	4	2009.068493	3_6665
2_22051_2012.751366	3	2012.751366	2_22051
2_17144_2009.063014	3	2009.063014	2_17144
2_17143_2009.30411	3	2009.30411	2_17143
2_17142_2009.024658	3	2009.024658	2_17142
5_1981_2009.054795	6	2009.054795	5_1981
5_1980_2009.057534	6	2009.057534	5_1980
5_1979_2009.049315	6	2009.049315	5_1979
5_1978_2009.079452	6	2009.079452	5_1978
2_17141_2009.041096	3	2009.041096	2_17141
2_17140_2009.038356	3	2009.038356	2_17140
2_17139_2009.090411	3	2009.090411	2_17139
2_17136_2009.10137	3	2009.10137	2_17136
2_17134_2009.030137	3	2009.030137	2_17134
2_17133_2009.112329	3	2009.112329	2_17133
5_1977_2009.109589	6	2009.109589	5_1977
2_22634_2015.191781	3	2015.191781	2_22634
5_1976_2009.041096	6	2009.041096	5_1976
5_1975_2009.2	6	2009.2	5_1975
5_1972_2009.049315	6	2009.049315	5_1972
3_6664_2009.041096	4	2009.041096	3_6664
3_6663_2009.090411	4	2009.090411	3_6663
2_17131_2009.076712	3	2009.076712	2_17131
2_17129_2009.052055	3	2009.052055	2_17129
2_17128_2009.106849	3	2009.106849	2_17128
2_22175_2012.956284	3	2012.956284	2_22175
2_17127_2009.063014	3	2009.063014	2_17127
5_3932_2010.663014	6	2010.663014	5_3932
2_17125_2009.030137	3	2009.030137	2_17125
4_9256_2009.112329	5	2009.112329	4_9256
2_17124_2009.079452	3	2009.079452	2_17124
2_17121_2009.021918	3	2009.021918	2_17121
5_1971_2009.117808	6	2009.117808	5_1971
5_1970_2009.073973	6	2009.073973	5_1970
5_1968_2009.019178	6	2009.019178	5_1968
5_1967_2009.068493	6	2009.068493	5_1967
2_17113_2009.057534	3	2009.057534	2_17113
2_17112_2009.054795	3	2009.054795	2_17112
2_17111_2009.10411	3	2009.10411	2_17111
2_17109_2009.071233	3	2009.071233	2_17109
5_1966_2009.043836	6	2009.043836	5_1966
4_9255_2009.082192	5	2009.082192	4_9255
2_17108_2009.071233	3	2009.071233	2_17108
2_17107_2009.021918	3	2009.021918	2_17107
2_17104_2009.071233	3	2009.071233	2_17104
5_1964_2009.106849	6	2009.106849	5_1964
5_1963_2009.032877	6	2009.032877	5_1963
3_6662_2009.071233	4	2009.071233	3_6662
2_17103_2009.046575	3	2009.046575	2_17103
2_17102_2009.035616	3	2009.035616	2_17102
2_17100_2009.073973	3	2009.073973	2_17100
5_1961_2009.046575	6	2009.046575	5_1961
4_9253_2009.016438	5	2009.016438	4_9253
4_9250_2009.052055	5	2009.052055	4_9250
2_17099_2009.054795	3	2009.054795	2_17099
2_17097_2009.060274	3	2009.060274	2_17097
2_17096_2009.008219	3	2009.008219	2_17096
2_17095_2009.109589	3	2009.109589	2_17095
2_17094_2009.079452	3	2009.079452	2_17094
2_17091_2009.180822	3	2009.180822	2_17091
2_17089_2009.09863	3	2009.09863	2_17089
2_17087_2009.041096	3	2009.041096	2_17087
2_17086_2009.079452	3	2009.079452	2_17086
2_17085_2009.063014	3	2009.063014	2_17085
2_17084_2009.019178	3	2009.019178	2_17084
2_17083_2009.117808	3	2009.117808	2_17083
2_17081_2009.09589	3	2009.09589	2_17081
5_1959_2009.060274	6	2009.060274	5_1959
3_6661_2009.052055	4	2009.052055	3_6661
2_17078_2009.021918	3	2009.021918	2_17078
2_17075_2009.00274	3	2009.00274	2_17075
2_17074_2009.019178	3	2009.019178	2_17074
2_17073_2009.065753	3	2009.065753	2_17073
2_17072_2009.115068	3	2009.115068	2_17072
4_9248_2009.024658	5	2009.024658	4_9248
2_17065_2009.115068	3	2009.115068	2_17065
2_17064_2009.120548	3	2009.120548	2_17064
2_17063_2009.090411	3	2009.090411	2_17063
2_17062_2009.087671	3	2009.087671	2_17062
4_9246_2009.00274	5	2009.00274	4_9246
2_22623_2015.09863	3	2015.09863	2_22623
2_17060_2009.00274	3	2009.00274	2_17060
2_17059_2009.071233	3	2009.071233	2_17059
2_17057_2009.060274	3	2009.060274	2_17057
2_17055_2009.060274	3	2009.060274	2_17055
2_17053_2009.060274	3	2009.060274	2_17053
5_1949_2009.035616	6	2009.035616	5_1949
3_6656_2009.027397	4	2009.027397	3_6656
5_2964_2009.786301	6	2009.786301	5_2964
2_17049_2009.013699	3	2009.013699	2_17049
2_17047_2009.008219	3	2009.008219	2_17047
5_5541_2012.461749	6	2012.461749	5_5541
2_17045_2008.986339	3	2008.986339	2_17045
2_17044_2009.021918	3	2009.021918	2_17044
2_17043_2009.041096	3	2009.041096	2_17043
2_17041_2009.013699	3	2009.013699	2_17041
5_1946_2009.005479	6	2009.005479	5_1946
5_1944_2009.052055	6	2009.052055	5_1944
4_9243_2009.041096	5	2009.041096	4_9243
2_17039_2009.038356	3	2009.038356	2_17039
2_17036_2009.008219	3	2009.008219	2_17036
2_17035_2009.076712	3	2009.076712	2_17035
2_17033_2009.027397	3	2009.027397	2_17033
2_17031_2009.005479	3	2009.005479	2_17031
2_17030_2009.00274	3	2009.00274	2_17030
5_1939_2009.172603	6	2009.172603	5_1939
5_1938_2009.030137	6	2009.030137	5_1938
5_1937_2008.994536	6	2008.994536	5_1937
5_1935_2008.983607	6	2008.983607	5_1935
2_17028_2009.005479	3	2009.005479	2_17028
2_17027_2008.997268	3	2008.997268	2_17027
2_17026_2008.997268	3	2008.997268	2_17026
2_17022_2009.035616	3	2009.035616	2_17022
5_1932_2009.010959	6	2009.010959	5_1932
2_20188_2010.232877	3	2010.232877	2_20188
5_1931_2009.010959	6	2009.010959	5_1931
5_1930_2009.027397	6	2009.027397	5_1930
2_17020_2009.117808	3	2009.117808	2_17020
2_17018_2009.049315	3	2009.049315	2_17018
2_17016_2008.989071	3	2008.989071	2_17016
1_6937_2009.016438	2	2009.016438	1_6937
5_1926_2009.128767	6	2009.128767	5_1926
4_9241_2009	5	2009	4_9241
4_9240_2009.024658	5	2009.024658	4_9240
2_17014_2009.00274	3	2009.00274	2_17014
2_18776_2009.564384	3	2009.564384	2_18776
2_17013_2009.008219	3	2009.008219	2_17013
2_17012_2009.073973	3	2009.073973	2_17012
2_17011_2009.010959	3	2009.010959	2_17011
2_17470_2009.153425	3	2009.153425	2_17470
2_17010_2008.991803	3	2008.991803	2_17010
2_17009_2008.978142	3	2008.978142	2_17009
5_1924_2009.010959	6	2009.010959	5_1924
4_9239_2009.013699	5	2009.013699	4_9239
4_9238_2008.994536	5	2008.994536	4_9238
2_17007_2009.016438	3	2009.016438	2_17007
2_17005_2009.005479	3	2009.005479	2_17005
5_3134_2009.969863	6	2009.969863	5_3134
2_17003_2008.972678	3	2008.972678	2_17003
2_17002_2009.00274	3	2009.00274	2_17002
2_17001_2009.071233	3	2009.071233	2_17001
2_17000_2008.983607	3	2008.983607	2_17000
5_1921_2008.997268	6	2008.997268	5_1921
5_1917_2009.09589	6	2009.09589	5_1917
5_1916_2009.068493	6	2009.068493	5_1916
4_9237_2008.991803	5	2008.991803	4_9237
2_16996_2009.057534	3	2009.057534	2_16996
2_16995_2008.97541	3	2008.97541	2_16995
2_16994_2009.013699	3	2009.013699	2_16994
2_16993_2009.172603	3	2009.172603	2_16993
1_6935_2008.986339	2	2008.986339	1_6935
2_16990_2008.980874	3	2008.980874	2_16990
5_5050_2011.879452	6	2011.879452	5_5050
2_18270_2009.40274	3	2009.40274	2_18270
2_16989_2008.991803	3	2008.991803	2_16989
2_16986_2009.021918	3	2009.021918	2_16986
2_16984_2009.010959	3	2009.010959	2_16984
5_1914_2009.027397	6	2009.027397	5_1914
5_1913_2009.052055	6	2009.052055	5_1913
5_4917_2011.676712	6	2011.676712	5_4917
5_1912_2009.024658	6	2009.024658	5_1912
2_20635_2010.531507	3	2010.531507	2_20635
5_1909_2009	6	2009	5_1909
5_1908_2008.997268	6	2008.997268	5_1908
5_1907_2009.046575	6	2009.046575	5_1907
4_9236_2009	5	2009	4_9236
4_9235_2008.964481	5	2008.964481	4_9235
4_9234_2008.983607	5	2008.983607	4_9234
2_16983_2009.068493	3	2009.068493	2_16983
2_16982_2009.076712	3	2009.076712	2_16982
2_16981_2009.049315	3	2009.049315	2_16981
2_16980_2008.97541	3	2008.97541	2_16980
2_16979_2009.032877	3	2009.032877	2_16979
2_16976_2008.991803	3	2008.991803	2_16976
2_16975_2009.024658	3	2009.024658	2_16975
5_1905_2009	6	2009	5_1905
5_4353_2011.10411	6	2011.10411	5_4353
5_1904_2009.021918	6	2009.021918	5_1904
5_1903_2009.052055	6	2009.052055	5_1903
2_16974_2009.019178	3	2009.019178	2_16974
2_16973_2009.117808	3	2009.117808	2_16973
1_6951_2009.10411	2	2009.10411	1_6951
2_16972_2008.989071	3	2008.989071	2_16972
2_16971_2008.994536	3	2008.994536	2_16971
2_16970_2009.087671	3	2009.087671	2_16970
2_16966_2009.005479	3	2009.005479	2_16966
2_16965_2009.024658	3	2009.024658	2_16965
5_1902_2009.005479	6	2009.005479	5_1902
5_1901_2009.139726	6	2009.139726	5_1901
5_1900_2008.994536	6	2008.994536	5_1900
1_7089_2009.835616	2	2009.835616	1_7089
5_1898_2009.016438	6	2009.016438	5_1898
5_1897_2009.019178	6	2009.019178	5_1897
5_1896_2009.068493	6	2009.068493	5_1896
5_1895_2009.008219	6	2009.008219	5_1895
5_1894_2008.97541	6	2008.97541	5_1894
5_1893_2008.967213	6	2008.967213	5_1893
2_16961_2008.986339	3	2008.986339	2_16961
2_16959_2009.016438	3	2009.016438	2_16959
2_16957_2008.961749	3	2008.961749	2_16957
5_1892_2009.049315	6	2009.049315	5_1892
5_1891_2009.005479	6	2009.005479	5_1891
3_6655_2008.994536	4	2008.994536	3_6655
2_16953_2009.019178	3	2009.019178	2_16953
2_16951_2009.071233	3	2009.071233	2_16951
2_16950_2008.972678	3	2008.972678	2_16950
5_1887_2008.95082	6	2008.95082	5_1887
5_1885_2008.964481	6	2008.964481	5_1885
5_1883_2008.994536	6	2008.994536	5_1883
5_1881_2009.090411	6	2009.090411	5_1881
4_9233_2009.016438	5	2009.016438	4_9233
4_9232_2008.972678	5	2008.972678	4_9232
5_3275_2010.10411	6	2010.10411	5_3275
2_16948_2009.046575	3	2009.046575	2_16948
2_16947_2008.956284	3	2008.956284	2_16947
2_16946_2009.030137	3	2009.030137	2_16946
2_16944_2009.016438	3	2009.016438	2_16944
2_16942_2008.959016	3	2008.959016	2_16942
5_1880_2008.980874	6	2008.980874	5_1880
2_20316_2010.320548	3	2010.320548	2_20316
5_1878_2008.978142	6	2008.978142	5_1878
5_1877_2009.076712	6	2009.076712	5_1877
5_1876_2009.038356	6	2009.038356	5_1876
4_9231_2009.063014	5	2009.063014	4_9231
2_16940_2008.961749	3	2008.961749	2_16940
2_16938_2009.027397	3	2009.027397	2_16938
2_16937_2009.016438	3	2009.016438	2_16937
5_1875_2008.969945	6	2008.969945	5_1875
5_1872_2009.032877	6	2009.032877	5_1872
2_16932_2009.030137	3	2009.030137	2_16932
5_3021_2009.915068	6	2009.915068	5_3021
2_16931_2008.967213	3	2008.967213	2_16931
2_16929_2008.945355	3	2008.945355	2_16929
2_16985_2009.035616	3	2009.035616	2_16985
2_16927_2009.016438	3	2009.016438	2_16927
5_1871_2008.986339	6	2008.986339	5_1871
5_1869_2008.972678	6	2008.972678	5_1869
4_9230_2008.986339	5	2008.986339	4_9230
3_6652_2009.106849	4	2009.106849	3_6652
2_16921_2008.980874	3	2008.980874	2_16921
2_16920_2008.972678	3	2008.972678	2_16920
2_16918_2009.035616	3	2009.035616	2_16918
2_16917_2008.980874	3	2008.980874	2_16917
2_16916_2009.019178	3	2009.019178	2_16916
2_16914_2009.052055	3	2009.052055	2_16914
5_1868_2008.997268	6	2008.997268	5_1868
3_6650_2008.969945	4	2008.969945	3_6650
2_16913_2009.054795	3	2009.054795	2_16913
2_16909_2008.997268	3	2008.997268	2_16909
2_16908_2009.010959	3	2009.010959	2_16908
2_16907_2008.959016	3	2008.959016	2_16907
2_16906_2008.953552	3	2008.953552	2_16906
2_16905_2008.959016	3	2008.959016	2_16905
5_1867_2009.041096	6	2009.041096	5_1867
2_16904_2009.145205	3	2009.145205	2_16904
2_16903_2009.027397	3	2009.027397	2_16903
2_16902_2008.956284	3	2008.956284	2_16902
2_16901_2008.980874	3	2008.980874	2_16901
2_16900_2008.97541	3	2008.97541	2_16900
2_16899_2008.983607	3	2008.983607	2_16899
1_6931_2008.964481	2	2008.964481	1_6931
5_1866_2008.980874	6	2008.980874	5_1866
5_1865_2008.97541	6	2008.97541	5_1865
5_1864_2008.969945	6	2008.969945	5_1864
2_16892_2009	3	2009	2_16892
5_4902_2011.693151	6	2011.693151	5_4902
2_16890_2009.052055	3	2009.052055	2_16890
5_6024_2013.449315	6	2013.449315	5_6024
2_16889_2009.063014	3	2009.063014	2_16889
2_16886_2009.019178	3	2009.019178	2_16886
