traits	patch	samp.dates	short.names
2_22519_2014.441096	3	2014.441096	2_22519
2_22512_2014.446575	3	2014.446575	2_22512
2_22511_2014.435616	3	2014.435616	2_22511
2_22508_2014.490411	3	2014.490411	2_22508
2_22507_2014.405479	3	2014.405479	2_22507
2_22504_2014.430137	3	2014.430137	2_22504
2_22501_2014.413699	3	2014.413699	2_22501
2_22499_2014.40274	3	2014.40274	2_22499
2_22498_2014.356164	3	2014.356164	2_22498
2_22496_2014.361644	3	2014.361644	2_22496
2_22495_2014.372603	3	2014.372603	2_22495
2_22494_2014.378082	3	2014.378082	2_22494
2_22492_2014.413699	3	2014.413699	2_22492
2_22491_2014.389041	3	2014.389041	2_22491
2_22489_2014.40274	3	2014.40274	2_22489
2_22487_2014.347945	3	2014.347945	2_22487
5_6367_2014.364384	6	2014.364384	5_6367
5_6366_2014.353425	6	2014.353425	5_6366
2_22484_2014.4	3	2014.4	2_22484
2_22483_2014.342466	3	2014.342466	2_22483
2_22482_2014.375342	3	2014.375342	2_22482
5_6363_2014.315068	6	2014.315068	5_6363
2_22480_2014.358904	3	2014.358904	2_22480
2_22477_2014.331507	3	2014.331507	2_22477
2_22474_2014.320548	3	2014.320548	2_22474
2_22473_2014.306849	3	2014.306849	2_22473
2_22471_2014.284932	3	2014.284932	2_22471
5_6362_2014.306849	6	2014.306849	5_6362
5_6361_2014.367123	6	2014.367123	5_6361
2_22467_2014.367123	3	2014.367123	2_22467
2_22466_2014.265753	3	2014.265753	2_22466
2_22463_2014.260274	3	2014.260274	2_22463
2_22461_2014.260274	3	2014.260274	2_22461
2_22459_2014.350685	3	2014.350685	2_22459
2_22458_2014.252055	3	2014.252055	2_22458
2_22455_2014.219178	3	2014.219178	2_22455
2_22454_2014.315068	3	2014.315068	2_22454
2_22453_2014.213699	3	2014.213699	2_22453
2_22450_2014.205479	3	2014.205479	2_22450
2_22447_2014.232877	3	2014.232877	2_22447
2_22446_2014.260274	3	2014.260274	2_22446
2_22442_2014.243836	3	2014.243836	2_22442
2_22440_2014.230137	3	2014.230137	2_22440
2_22439_2014.235616	3	2014.235616	2_22439
5_6358_2014.189041	6	2014.189041	5_6358
5_6356_2014.290411	6	2014.290411	5_6356
5_6355_2014.213699	6	2014.213699	5_6355
2_22436_2014.254795	3	2014.254795	2_22436
5_6352_2014.2	6	2014.2	5_6352
5_6350_2014.221918	6	2014.221918	5_6350
5_6349_2014.249315	6	2014.249315	5_6349
5_6348_2014.282192	6	2014.282192	5_6348
2_22431_2014.210959	3	2014.210959	2_22431
2_22427_2014.167123	3	2014.167123	2_22427
2_22426_2014.164384	3	2014.164384	2_22426
2_22425_2014.164384	3	2014.164384	2_22425
5_6343_2014.145205	6	2014.145205	5_6343
2_22424_2014.180822	3	2014.180822	2_22424
5_6342_2014.268493	6	2014.268493	5_6342
2_22423_2014.189041	3	2014.189041	2_22423
5_6341_2014.158904	6	2014.158904	5_6341
5_6340_2014.164384	6	2014.164384	5_6340
5_6339_2014.164384	6	2014.164384	5_6339
5_6338_2014.30411	6	2014.30411	5_6338
2_22419_2014.117808	3	2014.117808	2_22419
2_22418_2014.169863	3	2014.169863	2_22418
5_6336_2014.115068	6	2014.115068	5_6336
5_6335_2014.161644	6	2014.161644	5_6335
2_22414_2014.112329	3	2014.112329	2_22414
2_22413_2014.191781	3	2014.191781	2_22413
2_22412_2014.20274	3	2014.20274	2_22412
2_22411_2014.131507	3	2014.131507	2_22411
5_6333_2014.150685	6	2014.150685	5_6333
5_6331_2014.120548	6	2014.120548	5_6331
5_6330_2014.093151	6	2014.093151	5_6330
2_22407_2014.134247	3	2014.134247	2_22407
2_22406_2014.09863	3	2014.09863	2_22406
2_22405_2014.090411	3	2014.090411	2_22405
5_6327_2014.076712	6	2014.076712	5_6327
5_6324_2014.09589	6	2014.09589	5_6324
5_6323_2014.068493	6	2014.068493	5_6323
5_6322_2014.071233	6	2014.071233	5_6322
