.id	TP	TN	FP	FN	TPadj	TNadj	FPadj	FNadj
sim11_biased_10_150	7	16	1.2399999999999998	1	3	16	0.8199999999999998	5
sim11_biased_2.5_150	21.46	17	3.0999999999999996	6.54	12.03	17	1.24	15.969999999999999
sim11_biased_20_150	10	20	1.9100000000000001	14	1	20	0.020000000000000018	23
sim11_biased_5_150	9.71	16	3.0600000000000005	13.29	5.89	18	0.3200000000000003	17.11
sim11_biased_50_150	5.95	15	1.0099999999999998	6.05	1.95	15	0	10.05
