.id	TP	TN	FP	FN	TPadj	TNadj	FPadj	FNadj
sim11_biased_10_150	7.99	11	7.369999999999999	0.010000000000000009	3.99	13	3.4799999999999995	4.01
sim11_biased_2.5_150	21.46	17	3.0999999999999996	6.54	15.46	17	1.25	12.54
sim11_biased_20_150	12.969999999999999	17	4.970000000000001	11.030000000000001	5.97	20	0.6499999999999999	18.03
sim11_biased_5_150	10.100000000000001	15	4.99	12.899999999999999	6.89	17	1.2600000000000002	16.11
sim11_biased_50_150	6.49	13	2.1999999999999997	5.51	2.49	14	0	9.510000000000002
