.id	TP	TN	FP	FN	TPadj	TNadj	FPadj	FNadj
sim11_biased_10_500	31.11	14	4.23	6.890000000000001	20.88	14	3.3699999999999997	17.12
sim11_biased_2.5_500	35.57	12	7.260000000000001	17.430000000000003	24.919999999999998	13	2.1100000000000003	28.080000000000002
sim11_biased_20_500	16.89	13	13.07	26.11	7.6	13	1.37	35.400000000000006
sim11_biased_5_500	32.260000000000005	12	10.379999999999999	17.740000000000002	19.259999999999998	13	7.130000000000001	30.74
sim11_biased_50_500	7.91	16	9.17	25.09	2.55	16	0.77	30.45
