# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 27 14:21:49 CET 2024 [seed=1732713705419]
# sim11_biased_2.5_500_tipSwap.xml
state	joint	prior	likelihood	regions.clock.rate	regions.rates.Region1.Region2	regions.rates.Region1.Region3	regions.rates.Region1.Region4	regions.rates.Region1.Region5	regions.rates.Region1.Region6	regions.rates.Region2.Region3	regions.rates.Region2.Region4	regions.rates.Region2.Region5	regions.rates.Region2.Region6	regions.rates.Region3.Region4	regions.rates.Region3.Region5	regions.rates.Region3.Region6	regions.rates.Region4.Region5	regions.rates.Region4.Region6	regions.rates.Region5.Region6	regions.rates.Region2.Region1	regions.rates.Region3.Region1	regions.rates.Region4.Region1	regions.rates.Region5.Region1	regions.rates.Region6.Region1	regions.rates.Region3.Region2	regions.rates.Region4.Region2	regions.rates.Region5.Region2	regions.rates.Region6.Region2	regions.rates.Region4.Region3	regions.rates.Region5.Region3	regions.rates.Region6.Region3	regions.rates.Region5.Region4	regions.rates.Region6.Region4	regions.rates.Region6.Region5	regions.indicators.Region1.Region2	regions.indicators.Region1.Region3	regions.indicators.Region1.Region4	regions.indicators.Region1.Region5	regions.indicators.Region1.Region6	regions.indicators.Region2.Region3	regions.indicators.Region2.Region4	regions.indicators.Region2.Region5	regions.indicators.Region2.Region6	regions.indicators.Region3.Region4	regions.indicators.Region3.Region5	regions.indicators.Region3.Region6	regions.indicators.Region4.Region5	regions.indicators.Region4.Region6	regions.indicators.Region5.Region6	regions.indicators.Region2.Region1	regions.indicators.Region3.Region1	regions.indicators.Region4.Region1	regions.indicators.Region5.Region1	regions.indicators.Region6.Region1	regions.indicators.Region3.Region2	regions.indicators.Region4.Region2	regions.indicators.Region5.Region2	regions.indicators.Region6.Region2	regions.indicators.Region4.Region3	regions.indicators.Region5.Region3	regions.indicators.Region6.Region3	regions.indicators.Region5.Region4	regions.indicators.Region6.Region4	regions.indicators.Region6.Region5	regions.nonZeroRates	regions.branchRates	regions.treeLikelihood
0	-934.7473149613193	-494.78480620282994	-439.96250875848926	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	0.0	-439.96250875848926
40000	-1046.5489905313925	-160.2985010432548	-886.2504894881376	0.27849553200936805	1.0199964690262733	2.115696494751024	0.5160345774226797	0.532596218854032	0.23919963780535722	0.7413857190321879	1.6402914480822095	0.6709980000633358	2.0352213762939337	1.5547104529428017	0.58076190584545	0.7669827900530775	0.3972216322159381	1.1503365134401264	0.21547109952031493	0.0016649536204818944	0.9302118321554479	0.5999100510950283	0.9741471597716056	2.7612622968385	0.2640580971067455	0.6974527096117151	1.6424227350049068	1.2739113618531284	1.614618867613788	0.4305729339828367	0.16937417801509033	0.8627751743386041	0.7661924654660461	5.641298334296215	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	15.0	0.0	-886.2504894881376
80000	-1056.0701365786772	-125.5910636441414	-930.4790729345359	0.19999411279215598	0.022380540955538455	2.200154223387324	2.757679761231527	0.747200568607242	0.5625806057639846	2.449122244370374	0.12450838487700748	2.2642984624146485	1.0545285451085775	2.250162551211343	1.288156038729435	0.8454102534656958	0.3463336938596704	0.6557971473687945	1.9118805078769876	1.7292478332052408	1.8263280080448647	1.405349298141343	0.13691294974968166	2.486680238451439	1.0979904409187498	1.4388134445332956	0.7035715074443936	0.38100509679775973	3.7474340307606036	0.3808719814979079	1.1268621983246356	0.30427103710689946	0.7267679955565822	0.011539877180783665	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	-930.4790729345359
120000	-1093.5384762757926	-134.38607733589825	-959.1523989398943	0.20626222069532132	0.1035530309384892	0.8557237209728012	0.881172473785045	2.440523348292735	1.4558261591394472	2.3140330125412767	3.0749584872023146	2.8048884424481844	0.22633554631796102	2.0258466599904605	1.0046654121803387	0.207353192137861	0.34506266362099236	0.3102058034758197	0.04606767699264392	0.5038090668658027	1.4590975660498435	0.8702212015378721	0.5257314455607325	0.694919793437578	0.6804136014249015	2.859713933372332	0.6400813636619308	0.4727303771487485	2.4541947373283852	0.9931811580907148	0.28012464193501485	3.158111210475132	3.901343954382279	0.0014746806766318384	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	-959.1523989398943
160000	-1073.6429436241679	-117.75423837166221	-955.8887052525057	0.19168307663905496	0.2353021545457084	1.392987518290874	1.2763558362368788	1.5655398961122424	2.341455323163446	2.4274940488250913	1.343589342711435	1.6852846228833487	1.148495967923552	1.045793151103825	0.8610688304747333	0.6574375211810146	1.3718523065219128	1.3181638112679468	1.544700749353038	1.05890687646621	0.7872314161994522	0.6122114744934167	0.41219324743366587	1.301168986161186	0.38059428760747765	0.2581542605266577	0.23164128372065765	1.0739297494134048	2.645272976298765	0.2029725459850572	0.08207853732556807	0.5816892321813916	0.4460454123522889	3.903927740085817	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	11.0	0.0	-955.8887052525057
200000	-1051.835472956474	-106.56448894593638	-945.2709840105376	0.17885444726011795	0.6863850503728378	1.0387837435535046	1.6347349811988678	1.036493923399692	0.33352227532930445	1.9766669674940243	0.05012898941844296	0.1290693679148063	0.16497001941413236	2.2148515400380417	1.0488761144806416	0.6847387987948697	0.15185155849271698	0.2278186205956652	0.41422468053846145	2.8651675743545217	1.3802622640225004	0.6371582684213245	0.7548304279152176	3.2193731651607402	0.4202833689274831	0.37004550415589166	0.2229782591793138	0.6682852246991842	2.4760922155460396	0.24189105786544648	0.0062468656727588355	0.8819935965842028	0.14281396030310778	0.09713141195038097	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0	0.0	-945.2709840105376
240000	-1112.1915861482773	-151.90462533592566	-960.2869608123516	0.24976191993246863	1.2480110397443225	2.565846159701318	0.8484635443314367	0.021251504376020455	0.4776712339641588	1.9752156252531212	0.25018438543161237	4.516296736511157	0.4174523667009395	2.4432151027650204	1.0731457706767145	0.5923914301337414	0.2202968592596849	0.6545410158681373	1.5138520113222937	0.24825504248487518	2.4353038856805247	3.1626932561652503	1.310987913376353	0.22026144075341061	0.6162522144653474	0.20557124198737473	0.06701913103352303	0.1292257603006918	4.020124350606016	0.0827243709587955	1.3858589017750031	0.2554454133780245	0.09963826534609148	1.5921597005570394	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	16.0	0.0	-960.2869608123516
280000	-1059.5727780537861	-127.07239288468926	-932.500385169097	0.20657962196419982	2.90276352197739	1.7089800151899515	0.42935868926046616	3.080874149617812	2.028371141967519	0.9272326151426196	0.3045738075611619	2.81903995693218	1.4619432091096698	0.9579924180316467	0.7790993085538077	0.45339975619327794	1.5278534841539886	2.1426094619683336	0.1313027659739427	0.270778626307625	0.8549682981740985	0.20006094264663146	0.37456061355186776	0.14922861184163586	0.3586958769865106	0.7119964274171183	0.7623340627116096	1.9781520125286618	2.010544817240577	0.18817171957514717	1.2447566821097145	0.3514842010704519	1.0365034382390086	1.2502304899417724	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	-932.500385169097
320000	-1103.3078937016742	-117.2690161387487	-986.0388775629256	0.18375786979922154	0.1508938599030325	0.8206180698338299	0.574144133976619	8.563896675373893	1.1038298339388557	0.9787737733317108	0.5259909400753956	0.15519653212315265	0.6591971829486312	1.8058497837857075	0.9470191727560864	0.44229373034318187	1.1407935686412989	1.4857055277616935	0.1503204615198616	0.6516434658408968	1.4034493252000801	1.218716513239957	0.7695571800312788	0.8956490768487855	0.6451218126706276	1.8127803842926216	0.07003117758046806	1.560916096405158	2.206092626293936	2.133161333550121	1.863238715110549	0.40950658270848167	0.02019272286230725	0.7824668360867799	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	11.0	0.0	-986.0388775629256
360000	-1078.5735257218475	-132.15404791131095	-946.4194778105365	0.22257217860705356	0.3043207450217712	1.6898720185969889	0.5500747784440956	2.3596802419612426	1.516024047328419	0.809067754503624	0.8103851099999884	0.138520199669811	0.1395822355745082	1.4100046462647784	1.295263670678186	0.9457112625138542	2.0909065130759936	0.26453861743192375	0.30615620179722985	0.01416199304919615	1.7365754617947062	0.1475768180011664	0.39533142337484867	1.1687699619392968	0.7341729673382562	0.9937881522133323	1.853691662292293	0.929079918449086	3.681421702655301	1.4642372711287013	0.2957168598273794	0.9793180340721397	0.05079610649827623	1.9406953066691932	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	16.0	0.0	-946.4194778105365
